id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
32646039,NY Spacious RM w/ Own Bath near train & LaGuardia.,137358866,Queens,Woodside,40.746829999999996,-73.90654,Private room,50,30,94
34975527,3bdrm 1fl home w/parking!Close to ManhattanAirport,261028352,Queens,Woodside,40.74305,-73.9007,Entire home/apt,169,2,91
27695755,7mins to subway-28 mins Manhattan (3),158407820,Queens,Woodside,40.75375,-73.90037,Private room,57,2,125
31636424,Lovely Woodside room near LaGuardia & 52 St train,137358866,Queens,Woodside,40.74373,-73.90804,Private room,41,30,215
22830789,Freshly NewPrivateROOM by the7train*15minToMidtown,38814918,Queens,Woodside,40.74615,-73.90216,Private room,60,1,105
34949120,Modern house (2 BR Apt) â¢ 30 Mins from Time Square,259013161,Queens,Woodside,40.74302,-73.90287,Entire home/apt,150,1,155
4227554,"Big 2BR, just minutes to Manhattan!",21941065,Queens,Woodside,40.7426,-73.90706,Entire home/apt,195,3,305
27695485,The Woodside Story- Private bathroom (1),158407820,Queens,Woodside,40.75398,-73.90084,Private room,58,2,88
16884587,"Beautiful 2 Bedroom Apartment Woodside, Queens, NY",112601190,Queens,Woodside,40.746159999999996,-73.90392,Entire home/apt,106,2,34
27686998,Cozy private room near Roosevelt Av - Jackson Hts,137358866,Queens,Woodside,40.74146,-73.89341,Private room,33,30,246
28817364,Cozy Spacious Studio 15 mins -Time Square,107516522,Queens,Woodside,40.74451,-73.91105999999999,Entire home/apt,115,2,81
25587778,Cozy Bedroom Full of Sunshine,46979077,Queens,Woodside,40.74286,-73.89163,Private room,50,1,295
31556307,G/F Woodside room mins to LaGuardia Airport,137358866,Queens,Woodside,40.744240000000005,-73.90146,Private room,49,30,247
30562328,Large Room 11minutes to Manhattan NYC at Safe area,229293180,Queens,Woodside,40.7419,-73.90236,Private room,55,3,44
35716084,Private rooms And Matchless Location,233050530,Queens,Woodside,40.74568,-73.90844,Private room,49,2,177
33359522,Spacious Room with Balcony,14810989,Queens,Woodside,40.74402,-73.89698,Private room,55,5,162
714028,An Oasis in the Big Apple 2,3621183,Queens,Woodside,40.74746,-73.89712,Entire home/apt,120,3,253
714049,An Oasis in the Big Apple 3,3621183,Queens,Woodside,40.74687,-73.89891999999999,Entire home/apt,120,3,289
270231,Cozy New York  City private room,1366310,Queens,Woodside,40.74409,-73.91122,Private room,85,2,306
704838,An Oasis in  the Big Apple 1,3621183,Queens,Woodside,40.74723,-73.89706,Entire home/apt,120,3,281
16545297,Room close to Manhatan,36232131,Queens,Woodside,40.74354,-73.90093,Private room,100,3,90
7997433,30 Mins to Times Square -Javits Ctr! Awesome food!,42215969,Queens,Woodside,40.74583,-73.90059000000001,Entire home/apt,450,1,341
10634636,Cozy room 15mins Manhattan & 10 LGA,697477,Queens,Woodside,40.75427,-73.90646,Private room,55,1,297
13883393,One Bedroom Apartment- Only 15 min to Time Square!,82179512,Queens,Woodside,40.743990000000004,-73.89817,Entire home/apt,87,1,332
29605631,Cozy & Clean RM  in Queens. Near Subway Station.,137358866,Queens,Woodside,40.74361,-73.90758000000001,Private room,38,30,249
