Zip_Code,borough,neighborhood
10002,Manhattan,Lower East Side
10003,Manhattan,Lower East Side
10009,Manhattan,Lower East Side
10004,Manhattan,Lower Manhattan
10005,Manhattan,Lower Manhattan
10006,Manhattan,Lower Manhattan
10007,Manhattan,Lower Manhattan
10038,Manhattan,Lower Manhattan
10280,Manhattan,Lower Manhattan
10021,Manhattan,Upper East Side
10028,Manhattan,Upper East Side
10044,Manhattan,Upper East Side
10065,Manhattan,Upper East Side
10075,Manhattan,Upper East Side
10128,Manhattan,Upper East Side
10023,Manhattan,Upper West Side
10024,Manhattan,Upper West Side
10025,Manhattan,Upper West Side
10026,Manhattan,Central Harlem
10027,Manhattan,Central Harlem
10030,Manhattan,Central Harlem
10037,Manhattan,Central Harlem
10039,Manhattan,Central Harlem
10029,Manhattan,East Harlem
10035,Manhattan,East Harlem
10466,Bronx,Northeast Bronx
10469,Bronx,Northeast Bronx
10470,Bronx,Northeast Bronx
10475,Bronx,Northeast Bronx
11004,Queens,Southeast Queens
11411,Queens,Southeast Queens
11413,Queens,Southeast Queens
11422,Queens,Southeast Queens
11426,Queens,Southeast Queens
11427,Queens,Southeast Queens
11428,Queens,Southeast Queens
11429,Queens,Southeast Queens
11204,Brooklyn,Borough Park
11218,Brooklyn,Borough Park
11219,Brooklyn,Borough Park
11230,Brooklyn,Borough Park
11211,Brooklyn,Greenpoint
11222,Brooklyn,Greenpoint
11220,Brooklyn,Sunset Park
11232,Brooklyn,Sunset Park
11368,Queens,West Queens
11369,Queens,West Queens
11370,Queens,West Queens
11372,Queens,West Queens
11373,Queens,West Queens
11377,Queens,West Queens
11378,Queens,West Queens
11412,Queens,Jamaica
11423,Queens,Jamaica
11432,Queens,Jamaica
11433,Queens,Jamaica
11434,Queens,Jamaica
11435,Queens,Jamaica
11436,Queens,Jamaica
11414,Queens,Southwest Queens
11415,Queens,Southwest Queens
11416,Queens,Southwest Queens
11417,Queens,Southwest Queens
11418,Queens,Southwest Queens
11419,Queens,Southwest Queens
11420,Queens,Southwest Queens
11421,Queens,Southwest Queens
